id,year_month,healthboard,department_type,attendance_greater8hrs,attendance_greater12hrs,diff_between_target_met_agg,diff_between_target_met_ep
354,2007 Oct,NHS Highland,Emergency Department,NA,NA,2,NA
355,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
356,2007 Oct,NHS Highland,Emergency Department,NA,NA,4,NA
357,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
358,2007 Oct,NHS Highland,Emergency Department,2,0,23,23
359,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
360,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
361,2007 Oct,NHS Highland,Emergency Department,NA,NA,10,NA
362,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
363,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
364,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
365,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
366,2007 Oct,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
367,2007 Oct,NHS Lanarkshire,Emergency Department,7,0,210,210
368,2007 Oct,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
369,2007 Oct,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
370,2007 Oct,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
371,2007 Oct,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
372,2007 Oct,NHS Lanarkshire,Emergency Department,20,5,165,165
373,2007 Oct,NHS Lanarkshire,Emergency Department,20,5,165,165
374,2007 Oct,NHS Lanarkshire,Emergency Department,4,1,96,96
375,2007 Oct,NHS Lothian,Minor Injury Unit or Other,8,0,189,189
376,2007 Oct,NHS Lothian,Emergency Department,2,0,75,75
377,2007 Oct,NHS Lothian,Emergency Department,13,0,533,533
378,2007 Oct,NHS Lothian,Emergency Department,0,0,28,28
379,2007 Oct,NHS Orkney,Minor Injury Unit or Other,NA,NA,0,NA
380,2007 Oct,NHS Shetland,Emergency Department,1,0,6,6
381,2007 Oct,NHS Tayside,Emergency Department,0,0,32,32
382,2007 Oct,NHS Tayside,Emergency Department,0,0,32,32
383,2007 Oct,NHS Tayside,Emergency Department,0,0,34,34
384,2007 Oct,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
385,2007 Oct,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
386,2007 Oct,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
387,2007 Oct,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
388,2007 Oct,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
389,2007 Oct,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
390,2007 Oct,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
391,2007 Oct,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
392,2007 Oct,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
393,2007 Oct,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
394,2007 Oct,NHS Western Isles,Emergency Department,0,0,16,16
395,2007 Oct,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
396,2007 Nov,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
397,2007 Nov,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
398,2007 Nov,NHS Ayrshire and Arran,Emergency Department,4,0,77,77
399,2007 Nov,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
400,2007 Nov,NHS Ayrshire and Arran,Emergency Department,2,0,81,81
401,2007 Nov,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
402,2007 Nov,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
403,2007 Nov,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
404,2007 Nov,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
405,2007 Nov,NHS Borders,Emergency Department,0,0,21,21
406,2007 Nov,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
407,2007 Nov,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
408,2007 Nov,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
409,2007 Nov,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
410,2007 Nov,NHS Dumfries and Galloway,Emergency Department,NA,NA,11,NA
411,2007 Nov,NHS Dumfries and Galloway,Emergency Department,0,0,41,41
412,2007 Nov,NHS Fife,Emergency Department,0,0,74,74
413,2007 Nov,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
414,2007 Nov,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
415,2007 Nov,NHS Fife,Emergency Department,4,0,124,124
416,2007 Nov,NHS Forth Valley,Minor Injury Unit or Other,0,0,4,4
417,2007 Nov,NHS Forth Valley,Emergency Department,2,0,86,86
418,2007 Nov,NHS Grampian,Emergency Department,27,6,236,236
419,2007 Nov,NHS Grampian,Emergency Department,0,0,2,2
420,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
421,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
422,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
423,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
424,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,4,NA
425,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
426,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
427,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
428,2007 Nov,NHS Grampian,Emergency Department,0,0,19,19
429,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
430,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
431,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
432,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
433,2007 Nov,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
434,2007 Nov,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
435,2007 Nov,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,5,5
436,2007 Nov,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,5,5
437,2007 Nov,NHS Greater Glasgow and Clyde,Emergency Department,1,0,34,34
438,2007 Nov,NHS Greater Glasgow and Clyde,Emergency Department,1,0,34,34
439,2007 Nov,NHS Greater Glasgow and Clyde,Emergency Department,3,0,103,103
440,2007 Nov,NHS Greater Glasgow and Clyde,Emergency Department,3,0,103,103
441,2007 Nov,NHS Greater Glasgow and Clyde,Emergency Department,1,0,298,298
442,2007 Nov,NHS Greater Glasgow and Clyde,Emergency Department,4,0,117,117
443,2007 Nov,NHS Greater Glasgow and Clyde,Emergency Department,2,0,92,92
444,2007 Nov,NHS Greater Glasgow and Clyde,Emergency Department,1,0,160,160
445,2007 Nov,NHS Greater Glasgow and Clyde,Emergency Department,5,4,63,63
446,2007 Nov,NHS Greater Glasgow and Clyde,Emergency Department,12,7,271,271
447,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
448,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
449,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
450,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,5,NA
451,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,5,NA
452,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
453,2007 Nov,NHS Highland,Emergency Department,NA,NA,4,NA
454,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
455,2007 Nov,NHS Highland,Emergency Department,NA,NA,2,NA
456,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
457,2007 Nov,NHS Highland,Emergency Department,0,0,27,27
458,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
459,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
460,2007 Nov,NHS Highland,Emergency Department,NA,NA,4,NA
461,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
462,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
463,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
464,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
465,2007 Nov,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
466,2007 Nov,NHS Lanarkshire,Emergency Department,7,0,63,63
467,2007 Nov,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
468,2007 Nov,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
469,2007 Nov,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
470,2007 Nov,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
471,2007 Nov,NHS Lanarkshire,Emergency Department,34,20,203,203
472,2007 Nov,NHS Lanarkshire,Emergency Department,34,20,203,203
473,2007 Nov,NHS Lanarkshire,Emergency Department,7,0,63,63
474,2007 Nov,NHS Lothian,Minor Injury Unit or Other,10,0,98,98
475,2007 Nov,NHS Lothian,Emergency Department,0,0,36,36
476,2007 Nov,NHS Lothian,Emergency Department,20,0,361,361
477,2007 Nov,NHS Lothian,Emergency Department,0,0,38,38
478,2007 Nov,NHS Orkney,Minor Injury Unit or Other,NA,NA,0,NA
479,2007 Nov,NHS Shetland,Emergency Department,0,0,1,1
480,2007 Nov,NHS Tayside,Emergency Department,1,0,42,42
481,2007 Nov,NHS Tayside,Emergency Department,1,0,42,42
482,2007 Nov,NHS Tayside,Emergency Department,0,0,8,8
483,2007 Nov,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
484,2007 Nov,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
485,2007 Nov,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
486,2007 Nov,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
487,2007 Nov,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
488,2007 Nov,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
489,2007 Nov,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
490,2007 Nov,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
491,2007 Nov,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
492,2007 Nov,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
493,2007 Nov,NHS Western Isles,Emergency Department,0,0,7,7
494,2007 Nov,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
495,2007 Dec,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
496,2007 Dec,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
497,2007 Dec,NHS Ayrshire and Arran,Emergency Department,2,0,88,88
498,2007 Dec,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
499,2007 Dec,NHS Ayrshire and Arran,Emergency Department,1,0,95,95
500,2007 Dec,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
501,2007 Dec,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
502,2007 Dec,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
503,2007 Dec,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
504,2007 Dec,NHS Borders,Emergency Department,1,0,43,43
505,2007 Dec,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
506,2007 Dec,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
507,2007 Dec,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
508,2007 Dec,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
509,2007 Dec,NHS Dumfries and Galloway,Emergency Department,0,0,9,9
510,2007 Dec,NHS Dumfries and Galloway,Emergency Department,0,0,70,70
511,2007 Dec,NHS Fife,Emergency Department,4,0,78,78
512,2007 Dec,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
513,2007 Dec,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
514,2007 Dec,NHS Fife,Emergency Department,3,0,69,69
515,2007 Dec,NHS Forth Valley,Minor Injury Unit or Other,0,0,8,8
516,2007 Dec,NHS Forth Valley,Emergency Department,2,0,94,94
517,2007 Dec,NHS Grampian,Emergency Department,26,2,234,234
518,2007 Dec,NHS Grampian,Emergency Department,0,0,2,2
519,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
520,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
521,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
522,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
523,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,8,NA
524,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
525,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
526,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
527,2007 Dec,NHS Grampian,Emergency Department,1,0,57,57
528,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
529,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
530,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
531,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
532,2007 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
533,2007 Dec,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
534,2007 Dec,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,21,21
535,2007 Dec,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,21,21
536,2007 Dec,NHS Greater Glasgow and Clyde,Emergency Department,1,0,56,56
537,2007 Dec,NHS Greater Glasgow and Clyde,Emergency Department,1,0,56,56
538,2007 Dec,NHS Greater Glasgow and Clyde,Emergency Department,0,0,146,146
539,2007 Dec,NHS Greater Glasgow and Clyde,Emergency Department,0,0,146,146
540,2007 Dec,NHS Greater Glasgow and Clyde,Emergency Department,4,0,106,106
541,2007 Dec,NHS Greater Glasgow and Clyde,Emergency Department,2,0,78,78
542,2007 Dec,NHS Greater Glasgow and Clyde,Emergency Department,4,0,96,96
543,2007 Dec,NHS Greater Glasgow and Clyde,Emergency Department,1,0,49,49
544,2007 Dec,NHS Greater Glasgow and Clyde,Emergency Department,0,0,74,74
545,2007 Dec,NHS Greater Glasgow and Clyde,Emergency Department,10,1,155,155
546,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,9,NA
547,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
548,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
549,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
550,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,4,NA
551,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
552,2007 Dec,NHS Highland,Emergency Department,NA,NA,2,NA
553,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
554,2007 Dec,NHS Highland,Emergency Department,NA,NA,9,NA
555,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
556,2007 Dec,NHS Highland,Emergency Department,2,0,33,33
557,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
558,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
559,2007 Dec,NHS Highland,Emergency Department,NA,NA,13,NA
560,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,5,NA
561,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
562,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
563,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
564,2007 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
565,2007 Dec,NHS Lanarkshire,Emergency Department,5,0,56,56
566,2007 Dec,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
567,2007 Dec,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
568,2007 Dec,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
569,2007 Dec,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
570,2007 Dec,NHS Lanarkshire,Emergency Department,2,0,55,55
571,2007 Dec,NHS Lanarkshire,Emergency Department,2,0,55,55
572,2007 Dec,NHS Lanarkshire,Emergency Department,26,15,67,67
573,2007 Dec,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
574,2007 Dec,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
575,2007 Dec,NHS Lothian,Minor Injury Unit or Other,0,0,86,86
576,2007 Dec,NHS Lothian,Emergency Department,2,0,40,40
577,2007 Dec,NHS Lothian,Emergency Department,36,0,421,421
578,2007 Dec,NHS Lothian,Emergency Department,0,0,20,20
579,2007 Dec,NHS Orkney,Minor Injury Unit or Other,NA,NA,0,NA
580,2007 Dec,NHS Shetland,Emergency Department,0,0,6,6
581,2007 Dec,NHS Tayside,Emergency Department,1,0,86,86
582,2007 Dec,NHS Tayside,Emergency Department,1,0,86,86
583,2007 Dec,NHS Tayside,Emergency Department,6,0,106,106
584,2007 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
585,2007 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
586,2007 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
587,2007 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
588,2007 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
589,2007 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
590,2007 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
591,2007 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
592,2007 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
593,2007 Dec,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
594,2007 Dec,NHS Western Isles,Emergency Department,0,0,8,8
595,2007 Dec,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
596,2008 Jan,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
597,2008 Jan,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
598,2008 Jan,NHS Ayrshire and Arran,Emergency Department,0,0,68,68
599,2008 Jan,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
600,2008 Jan,NHS Ayrshire and Arran,Emergency Department,0,0,56,56
601,2008 Jan,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
602,2008 Jan,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
603,2008 Jan,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
604,2008 Jan,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
605,2008 Jan,NHS Borders,Emergency Department,2,0,61,61
606,2008 Jan,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
607,2008 Jan,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
608,2008 Jan,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
609,2008 Jan,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
610,2008 Jan,NHS Dumfries and Galloway,Emergency Department,4,0,19,19
611,2008 Jan,NHS Dumfries and Galloway,Emergency Department,3,0,88,88
612,2008 Jan,NHS Fife,Emergency Department,32,10,183,183
613,2008 Jan,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
614,2008 Jan,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
615,2008 Jan,NHS Fife,Emergency Department,36,10,220,220
616,2008 Jan,NHS Forth Valley,Minor Injury Unit or Other,0,0,2,2
617,2008 Jan,NHS Forth Valley,Emergency Department,5,3,108,108
618,2008 Jan,NHS Grampian,Emergency Department,45,4,313,313
619,2008 Jan,NHS Grampian,Emergency Department,0,0,1,1
620,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
621,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
622,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
623,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
624,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,3,NA
625,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
626,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
627,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,5,NA
628,2008 Jan,NHS Grampian,Emergency Department,8,1,96,96
629,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
630,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
631,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
632,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
633,2008 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
634,2008 Jan,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
635,2008 Jan,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,19,19
636,2008 Jan,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,19,19
637,2008 Jan,NHS Greater Glasgow and Clyde,Emergency Department,0,0,20,20
638,2008 Jan,NHS Greater Glasgow and Clyde,Emergency Department,0,0,20,20
639,2008 Jan,NHS Greater Glasgow and Clyde,Emergency Department,0,0,126,126
640,2008 Jan,NHS Greater Glasgow and Clyde,Emergency Department,0,0,126,126
641,2008 Jan,NHS Greater Glasgow and Clyde,Emergency Department,9,0,230,230
642,2008 Jan,NHS Greater Glasgow and Clyde,Emergency Department,0,0,46,46
643,2008 Jan,NHS Greater Glasgow and Clyde,Emergency Department,2,0,85,85
644,2008 Jan,NHS Greater Glasgow and Clyde,Emergency Department,1,0,82,82
645,2008 Jan,NHS Greater Glasgow and Clyde,Emergency Department,2,1,71,71
646,2008 Jan,NHS Greater Glasgow and Clyde,Emergency Department,4,0,172,172
647,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,5,NA
648,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
649,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
650,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,4,NA
651,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
652,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
653,2008 Jan,NHS Highland,Emergency Department,NA,NA,3,NA
654,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
655,2008 Jan,NHS Highland,Emergency Department,NA,NA,4,NA
656,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
657,2008 Jan,NHS Highland,Emergency Department,3,0,40,40
658,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
659,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
660,2008 Jan,NHS Highland,Emergency Department,NA,NA,10,NA
661,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
662,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,4,NA
663,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
664,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
665,2008 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
666,2008 Jan,NHS Lanarkshire,Emergency Department,3,0,41,41
667,2008 Jan,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
668,2008 Jan,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
669,2008 Jan,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
670,2008 Jan,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
671,2008 Jan,NHS Lanarkshire,Emergency Department,17,9,130,130
672,2008 Jan,NHS Lanarkshire,Emergency Department,17,9,130,130
673,2008 Jan,NHS Lanarkshire,Emergency Department,78,31,267,267
674,2008 Jan,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
675,2008 Jan,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
676,2008 Jan,NHS Lothian,Minor Injury Unit or Other,1,0,85,85
677,2008 Jan,NHS Lothian,Emergency Department,0,0,13,13
678,2008 Jan,NHS Lothian,Emergency Department,27,2,305,305
679,2008 Jan,NHS Lothian,Emergency Department,0,0,15,15
680,2008 Jan,NHS Orkney,Minor Injury Unit or Other,NA,NA,0,NA
681,2008 Jan,NHS Shetland,Emergency Department,0,0,11,11
682,2008 Jan,NHS Tayside,Emergency Department,0,0,67,67
683,2008 Jan,NHS Tayside,Emergency Department,0,0,67,67
684,2008 Jan,NHS Tayside,Emergency Department,1,0,19,19
685,2008 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
686,2008 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
687,2008 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
688,2008 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
689,2008 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
690,2008 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
691,2008 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
692,2008 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
693,2008 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
694,2008 Jan,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
695,2008 Jan,NHS Western Isles,Emergency Department,0,0,7,7
